,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Boeing Co/The,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Lockheed Martin Corp,Northrop Grumman Corp,Honeywell International Inc,Raytheon Co,L-3 Communications Holdings Inc,United Technologies Corp,Rockwell Collins Inc,General Dynamics Corp,Textron Inc,Orbital ATK Inc,B/E Aerospace Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
aerospace engineer,38.52,40.88,44.29,46.59,41.09,30.85,,,,,,53.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
aircraft mechanic,21.80,24.57,24.48,25.78,24.16,21.93,,,28.77,,,24.44,26.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
analyst,28.45,30.37,33.62,36.80,34.88,30.67,,27.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
business analyst,28.48,32.56,33.00,36.76,34.88,29.79,37.31,,32.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
contract administrator,28.12,31.06,30.95,35.81,31.00,31.35,,33.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
design engineer,34.94,35.75,41.60,40.18,35.76,34.82,35.45,,41.67,30.13,,,35.38,39.58,34.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9
electrical engineer,37.02,35.73,43.84,39.52,36.20,34.90,37.97,35.63,35.82,31.53,40.79,,32.26,35.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10
engineer,37.95,37.93,44.68,42.97,33.57,36.37,40.77,38.97,39.85,35.97,40.48,37.55,39.38,36.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11
engineering,23.63,21.92,28.00,23.99,21.32,18.70,,28.08,,20.65,23.38,16.62,22.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8
engineering manager,58.40,56.26,71.27,64.79,54.04,51.69,48.74,58.44,,51.18,59.69,64.46,,59.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9
finance manager,49.52,49.48,57.41,56.96,,,52.81,46.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
financial analyst,28.83,28.69,33.56,32.81,27.96,27.58,30.07,27.08,31.17,28.42,,,28.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8
industrial engineer,32.40,32.38,36.72,34.80,27.67,27.41,41.03,,,34.11,,34.83,29.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7
intern,19.73,17.36,22.40,19.58,17.42,16.21,15.63,17.48,16.33,17.73,17.47,16.00,19.28,18.62,16.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12
it manager,59.78,53.46,70.64,62.87,,44.62,56.79,52.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
it project manager,38.82,43.07,46.49,49.11,,44.67,45.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
manager,54.16,55.76,62.47,63.70,64.80,58.00,51.69,54.38,50.62,42.90,67.70,57.13,53.43,58.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11
manufacturing engineer,31.04,31.86,36.01,35.21,31.50,30.30,32.36,33.98,32.60,29.49,,31.50,29.60,36.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10
materials engineer,36.92,36.13,43.62,44.23,36.57,,32.85,,,38.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
mechanical engineer,36.08,34.76,42.78,39.98,34.57,32.04,36.31,34.85,32.66,31.74,38.23,,35.85,35.65,34.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11
network engineer,40.85,39.80,43.85,44.82,39.07,38.00,,,41.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
