Ticker,Company,GOC,AvgPercentUnweighted,AvgPercentWeighted
AAP,AAP Stores,driver,0.518,1.571
AMZN,AMZN Dist. Centers,facilities manager,2.905,8.607
AMZN,AMZN Dist. Centers,maintenance technician,1.536,4.552
AZO,AZO Stores,assistant manager,0.805,2.483
AZO,AZO Stores,parts sales,0.570,1.761
AZO,AZO Stores,sales associate,0.519,1.601
BBBY,BBBY Stores,assistant manager,1.510,4.629
BBBY,BBBY Stores,receiving,0.646,1.982
BBY,BBY Large Stores,assistant manager,1.618,4.968
BBY,BBY Large Stores,cashier,0.527,1.617
BBY,BBY Large Stores,channel sales manager,0.831,2.551
BBY,BBY Large Stores,computer specialist,0.608,1.868
BBY,BBY Large Stores,customer experience manager,1.756,5.390
BBY,BBY Large Stores,customer service representative,0.603,1.852
BBY,BBY Large Stores,sales manager,1.212,3.722
BBY,BBY Small Stores,geek squad,0.804,2.430
BURL,BURL Stores,merchandise manager,1.560,4.787
BURL,BURL Stores,store manager,2.139,6.563
CASY,CASY Stores,cashier,0.548,1.632
COST,COST Stores,assistant manager,0.965,2.944
COST,COST Stores,tire technician,0.706,2.154
CVS,CVS Stores,cashier,0.470,1.467
CVS,CVS Stores,customer service representative,0.632,1.974
CVS,CVS Stores,pharmacist,3.371,10.525
DDS,DDS Stores,cosmetics counter manager,0.950,2.877
DDS,DDS Stores,customer service representative,0.675,2.045
DDS,DDS Stores,sales specialist,0.836,2.531
DG,DG Stores,assistant manager,0.666,2.009
DG,DG Stores,sales associate,0.510,1.540
DKS,DKS Stores,materials coordinator,0.638,1.934
DLTR,DLTR Stores,assistant manager,0.594,1.830
DLTR,DLTR Stores,cashier,0.450,1.385
DLTR,DLTR Stores,store manager,1.229,3.784
FL,FL Stores,assistant manager,0.541,1.681
FL,FL Stores,sales associate,0.412,1.279
GME,GME Stores,sales associate,0.486,1.506
GPS,GPS Stores,merchandise,0.719,2.240
HD,HD Stores,administrative assistant,1.210,3.707
