Ticker|Subsidiary|Avg_lw_unweighted|Avg_lw_weighted
AAP|AAP Stores|15.974|49.598
AMZN|AMZN Dist. Centers|17.023|50.519
AN|AN Stores|17.161|52.528
AZO|AZO Stores|15.989|50.101
BBBY|BBBY Stores|16.835|52.400
BBY|BBY Large Stores|16.748|51.713
BBY|BBY Small Stores|16.833|50.972
BURL|BURL Stores|17.035|52.028
CAB|CAB Stores|16.391|49.173
CASY|CASY Stores|15.625|47.379
COST|COST Stores|17.364|53.727
CVS|CVS Stores|16.140|51.992
DDS|DDS Stores|16.017|48.316
DG|DG Stores|15.660|47.167
DKS|DKS Stores|16.702|50.868
DLTR|DLTR Stores|15.854|49.413
FL|FL Stores|16.765|52.045
GME|GME Stores|16.229|51.128
GPS|GPS Stores|16.773|52.582
HD|HD Stores|16.586|51.675
JCP|JCP Stores|16.301|49.616
JWN|JWN Stores|17.813|55.020
KMX|KMX Stores|17.008|51.429
KR|KR Large Stores|16.231|50.514
KR|KR Small Stores|15.995|48.944
KSS|KSS Stores|16.646|51.153
LB|LB Stores|16.450|51.365
LOW|LOW Stores|16.270|49.995
M|M Stores|17.215|53.578
MIK|MIK Stores|16.816|52.430
MUSA|MUSA Stores|15.403|46.652
ORLY|ORLY Stores|15.767|49.178
RAD|RAD Stores|16.266|51.816
ROST|ROST Stores|16.582|52.051
SBH|SBH Stores|16.209|50.387
SFM|SFM Stores|17.221|53.716
SIG|SIG Stores|16.539|51.084
SPLS|SPLS Stores|16.748|52.827
SYY|SYY Stores|17.010|51.431
TGT|TGT Dist. Centers|16.638|49.749
TGT|TGT Stores|16.747|52.040
TIF|TIF Stores|18.021|55.165
TJX|TJX Stores|16.615|52.501
TSCO|TSCO Stores|15.834|47.863
ULTA|ULTA Stores|16.715|51.308
URBN|URBN Stores|17.696|54.595
WBA|WBA Stores|16.160|51.047
WFM|WFM Stores|17.591|54.784
WMT|WMT Dist. Centers|16.041|48.366
WMT|WMT Stores|15.874|48.870
WSM|WSM Stores|17.478|53.339
