AAP,Advance Auto Parts Inc,,10.5,6492.077182353798880 / 62110
AMZN,Amazon.com Inc,,15.3,18279.957725769381581 / 119331
AN,AutoNation Inc,,51.3,12553.879105089420126 / 24456
AZO,AutoZone Inc,,6.9,5197.793603998994857 / 75084
BBBY,Bed Bath & Beyond Inc,,12.8,7080.482362604130717 / 55452
BBY,Best Buy Co Inc,,11.3,12747.573619799866040 / 112451
BBY,Best Buy Co Inc,BBY Large Stores,11.3,12402.357759823740217 / 110095
BBY,Best Buy Co Inc,BBY Small Stores,14.7,345.215859976125823 / 2356
BURL,Burlington Stores Inc,,14.0,5326.238792736432697 / 37947
CAB,Cabela's Inc,,12.7,2345.951028618559780 / 18426
CASY,Casey's General Stores Inc,,6.6,2296.664671278539883 / 34807
COST,Costco Wholesale Corp,,13.9,14373.346251788018905 / 103320
CVS,CVS Health Corp,,26.9,58527.172087800429260 / 217330
DDS,Dillard's Inc,,9.4,5779.747631617013434 / 61416
DG,Dollar General Corp,,12.5,11987.552317765068108 / 95533
DKS,Dick's Sporting Goods Inc,,13.4,5278.445295395767799 / 39392
DLTR,Dollar Tree Inc,,9.9,15847.779683948266658 / 160097
FL,Foot Locker Inc,,9.9,2105.498660938253845 / 21248
GME,GameStop Corp,,10.2,2825.748103389418205 / 27615
GPS,Gap Inc/The,,13.3,12421.078480985582305 / 93650
HD,Home Depot Inc/The,,6.5,22371.818272707907445 / 345236
JCP,JC Penney Co Inc,,7.6,10648.977595431299018 / 140006
JWN,Nordstrom Inc,,8.7,4468.455464594585521 / 51563
KMX,CarMax Inc,,64.2,14187.004150034004865 / 22098
KR,Kroger Co/The,,9.6,33973.267255792165045 / 354347
KR,Kroger Co/The,KR Large Stores,9.3,32339.569611133331821 / 346267
KR,Kroger Co/The,KR Small Stores,20.2,1633.697644658833224 / 8080
KSS,Kohl's Corp,,5.0,6575.599804853058316 / 131390
LB,L Brands Inc,,15.8,9166.535287537450273 / 58089
LOW,Lowe's Cos Inc,,7.7,20917.879770686344174 / 270161
M,Macy's Inc,,4.6,7736.914676660953603 / 168524
MIK,Michaels Cos Inc/The,,11.5,4919.805297786421961 / 42813
MUSA,Murphy USA Inc,,18.1,1536.150962137323327 / 8508
ORLY,O'Reilly Automotive Inc,,11.3,6744.920194411050047 / 59487
RAD,Rite Aid Corp,,22.2,17687.377973290326349 / 79499
ROST,Ross Stores Inc,,8.6,4825.448943023596673 / 56379
SBH,Sally Beauty Holdings Inc,,1.2,165.164285791912326 / 14050
SFM,Sprouts Farmers Market Inc,,10.6,2359.742446965591214 / 22283
SIG,Signet Jewelers Ltd,,12.7,3362.889862577028589 / 26394
SPLS,Staples Inc,,16.8,6800.317285100203534 / 40426
SYY,Sysco Corp,,96.3,40440.472519019076806 / 42007
TGT,Target Corp,,8.8,29842.253385151159146 / 337496
TGT,Target Corp,TGT Dist. Centers,56.4,10187.409032187827724 / 18062
TGT,Target Corp,TGT Stores,6.2,19654.844352963331422 / 319434
TIF,Tiffany & Co,,32.2,1119.056483432546938 / 3474
TJX,TJX Cos Inc/The,,11.3,15036.985700390844718 / 133236
TSCO,Tractor Supply Co,,12.5,2172.128851273711823 / 17375
ULTA,Ulta Salon Cosmetics & Fragrance Inc,,6.8,1529.383084567558395 / 22517
URBN,Urban Outfitters Inc,,10.5,1402.973711099222895 / 13423
WBA,Walgreens Boots Alliance Inc,,24.9,52138.356105147873523 / 209230
WFM,Whole Foods Market Inc,,10.7,6515.656242665775005 / 60905
WMT,Wal-Mart Stores Inc,,6.5,96649.778919924545371 / 1478889
WMT,Wal-Mart Stores Inc,WMT Dist. Centers,19.7,16569.276315242475683 / 84079
WMT,Wal-Mart Stores Inc,WMT Stores,5.7,80080.502604682069688 / 1394810
WSM,Williams-Sonoma Inc,,12.3,2225.307491016728335 / 18067
