"TICKER"|"METRIC"|"VALUE"
"AAPL"|"PAY.RETIRE.QUAL"|"76"
"GOOG"|"PAY.RETIRE.QUAL"|"88"
"MSFT"|"PAY.RETIRE.QUAL"|"86"
"XOM"|"PAY.RETIRE.QUAL"|"88"
"BRK.B"|"PAY.RETIRE.QUAL"|NA
"AMZN"|"PAY.RETIRE.QUAL"|"65"
"FB"|"PAY.RETIRE.QUAL"|"82"
"JNJ"|"PAY.RETIRE.QUAL"|"84.7"
"GE"|"PAY.RETIRE.QUAL"|"81"
"T"|"PAY.RETIRE.QUAL"|"77.61"
"WFC"|"PAY.RETIRE.QUAL"|"79"
"JPM"|"PAY.RETIRE.QUAL"|"74"
"PG"|"PAY.RETIRE.QUAL"|"76.54"
"WMT"|"PAY.RETIRE.QUAL"|"56"
"VZ"|"PAY.RETIRE.QUAL"|"82.36"
"PFE"|"PAY.RETIRE.QUAL"|"87.93"
"KO"|"PAY.RETIRE.QUAL"|"72"
"CVX"|"PAY.RETIRE.QUAL"|"89"
"V"|"PAY.RETIRE.QUAL"|"85"
"ORCL"|"PAY.RETIRE.QUAL"|"82"
"DIS"|"PAY.RETIRE.QUAL"|"74.52"
"HD"|"PAY.RETIRE.QUAL"|"57"
"MRK"|"PAY.RETIRE.QUAL"|"86.67"
"PM"|"PAY.RETIRE.QUAL"|"90"
"CMCSA"|"PAY.RETIRE.QUAL"|"77"
"INTC"|"PAY.RETIRE.QUAL"|"74.29"
"PEP"|"PAY.RETIRE.QUAL"|"69.65"
"CSCO"|"PAY.RETIRE.QUAL"|"86"
"IBM"|"PAY.RETIRE.QUAL"|"87"
"BAC"|"PAY.RETIRE.QUAL"|"81.49"
"UNH"|"PAY.RETIRE.QUAL"|"73"
"MO"|"PAY.RETIRE.QUAL"|"85.76"
"C"|"PAY.RETIRE.QUAL"|"80"
"BMY"|"PAY.RETIRE.QUAL"|"86.92"
"MDT"|"PAY.RETIRE.QUAL"|"83"
"AMGN"|"PAY.RETIRE.QUAL"|"91"
"GILD"|"PAY.RETIRE.QUAL"|"86"
"SLB"|"PAY.RETIRE.QUAL"|"76.43"
"MCD"|"PAY.RETIRE.QUAL"|"59"
"CVS"|"PAY.RETIRE.QUAL"|"68"
"MA"|"PAY.RETIRE.QUAL"|"85"
"KHC"|"PAY.RETIRE.QUAL"|"77.93"
"MMM"|"PAY.RETIRE.QUAL"|"79.79"
"ABBV"|"PAY.RETIRE.QUAL"|"85"
"AGN"|"PAY.RETIRE.QUAL"|"87"
"UPS"|"PAY.RETIRE.QUAL"|"85.88"
"NKE"|"PAY.RETIRE.QUAL"|"74"
"WBA"|"PAY.RETIRE.QUAL"|"64"
"HON"|"PAY.RETIRE.QUAL"|"79.6"
"UTX"|"PAY.RETIRE.QUAL"|"78.69"
"BA"|"PAY.RETIRE.QUAL"|"85"
"LLY"|"PAY.RETIRE.QUAL"|"85"
"SBUX"|"PAY.RETIRE.QUAL"|"55"
"CELG"|"PAY.RETIRE.QUAL"|"86"
"QCOM"|"PAY.RETIRE.QUAL"|"84"
"ACN"|"PAY.RETIRE.QUAL"|"76.3"
"UNP"|"PAY.RETIRE.QUAL"|"79"
"LMT"|"PAY.RETIRE.QUAL"|"81.59"
"RAI"|"PAY.RETIRE.QUAL"|"83"
"USB"|"PAY.RETIRE.QUAL"|"72"
"MDLZ"|"PAY.RETIRE.QUAL"|"79.55"
"COST"|"PAY.RETIRE.QUAL"|"69.98"
"DHR"|"PAY.RETIRE.QUAL"|"80.66"
"LOW"|"PAY.RETIRE.QUAL"|"59"
"PCLN"|"PAY.RETIRE.QUAL"|"70"
"CL"|"PAY.RETIRE.QUAL"|"80"
"GS"|"PAY.RETIRE.QUAL"|"84.98"
"AVGO"|"PAY.RETIRE.QUAL"|"85"
"TXN"|"PAY.RETIRE.QUAL"|"83.53"
"AIG"|"PAY.RETIRE.QUAL"|"82.51"
"CHTR"|"PAY.RETIRE.QUAL"|"64"
"DOW"|"PAY.RETIRE.QUAL"|"84"
"TMO"|"PAY.RETIRE.QUAL"|"78"
"AXP"|"PAY.RETIRE.QUAL"|"85"
"CB"|"PAY.RETIRE.QUAL"|"81"
"NEE"|"PAY.RETIRE.QUAL"|"78"
"DD"|"PAY.RETIRE.QUAL"|"85.96"
"OXY"|"PAY.RETIRE.QUAL"|"81.15"
"TWX"|"PAY.RETIRE.QUAL"|"82"
"DUK"|"PAY.RETIRE.QUAL"|"83"
"BLK"|"PAY.RETIRE.QUAL"|"86"
"ABT"|"PAY.RETIRE.QUAL"|"84"
"CRM"|"PAY.RETIRE.QUAL"|"85"
"COP"|"PAY.RETIRE.QUAL"|"89"
"FOX"|"PAY.RETIRE.QUAL"|"78"
"EMC"|"PAY.RETIRE.QUAL"|"81"
"BIIB"|"PAY.RETIRE.QUAL"|"86"
"F"|"PAY.RETIRE.QUAL"|"76.91"
"TJX"|"PAY.RETIRE.QUAL"|"55.94"
"ADBE"|"PAY.RETIRE.QUAL"|"85"
"SO"|"PAY.RETIRE.QUAL"|"79"
"KMB"|"PAY.RETIRE.QUAL"|"82"
"MS"|"PAY.RETIRE.QUAL"|"84"
"ESRX"|"PAY.RETIRE.QUAL"|"74"
"MON"|"PAY.RETIRE.QUAL"|"84"
"MET"|"PAY.RETIRE.QUAL"|"74"
"AMT"|"PAY.RETIRE.QUAL"|"76"
"EOG"|"PAY.RETIRE.QUAL"|"87"
"D"|"PAY.RETIRE.QUAL"|"78.89"
"PYPL"|"PAY.RETIRE.QUAL"|"78"
"GM"|"PAY.RETIRE.QUAL"|"70"
"CAT"|"PAY.RETIRE.QUAL"|"81.07"
"BK"|"PAY.RETIRE.QUAL"|"78.25"
"SYK"|"PAY.RETIRE.QUAL"|"82"
"FDX"|"PAY.RETIRE.QUAL"|"69"
"GD"|"PAY.RETIRE.QUAL"|"73.17"
"PNC"|"PAY.RETIRE.QUAL"|"72"
"AET"|"PAY.RETIRE.QUAL"|"77"
"PSX"|"PAY.RETIRE.QUAL"|"88"
"PSA"|"PAY.RETIRE.QUAL"|"57"
"MCK"|"PAY.RETIRE.QUAL"|"78"
"RTN"|"PAY.RETIRE.QUAL"|"84"
"NFLX"|"PAY.RETIRE.QUAL"|"83"
"ADP"|"PAY.RETIRE.QUAL"|"76"
"TGT"|"PAY.RETIRE.QUAL"|"62"
"NOC"|"PAY.RETIRE.QUAL"|"82.75"
"KMI"|"PAY.RETIRE.QUAL"|"79"
"GIS"|"PAY.RETIRE.QUAL"|"78.79"
"REGN"|"PAY.RETIRE.QUAL"|"83"
"ITW"|"PAY.RETIRE.QUAL"|"76.87"
"HAL"|"PAY.RETIRE.QUAL"|"80.97"
"LVS"|"PAY.RETIRE.QUAL"|"61"
"SCHW"|"PAY.RETIRE.QUAL"|"85"
"CTSH"|"PAY.RETIRE.QUAL"|"71"
"BDX"|"PAY.RETIRE.QUAL"|"79"
"YHOO"|"PAY.RETIRE.QUAL"|"83"
"CCL"|"PAY.RETIRE.QUAL"|"66"
"ECL"|"PAY.RETIRE.QUAL"|"78.51"
"TMUS"|"PAY.RETIRE.QUAL"|"69"
"ANTM"|"PAY.RETIRE.QUAL"|"75"
"MMC"|"PAY.RETIRE.QUAL"|"77.74"
"KR"|"PAY.RETIRE.QUAL"|"58.63"
"EL"|"PAY.RETIRE.QUAL"|"74"
"YUM"|"PAY.RETIRE.QUAL"|"53"
"LYB"|"PAY.RETIRE.QUAL"|"84"
"EMR"|"PAY.RETIRE.QUAL"|"71.85"
"COF"|"PAY.RETIRE.QUAL"|"74"
"TRV"|"PAY.RETIRE.QUAL"|"79"
"AEP"|"PAY.RETIRE.QUAL"|"83"
"CI"|"PAY.RETIRE.QUAL"|"74"
"CME"|"PAY.RETIRE.QUAL"|"81"
"PX"|"PAY.RETIRE.QUAL"|"76"
"PRU"|"PAY.RETIRE.QUAL"|"82"
"TSLA"|"PAY.RETIRE.QUAL"|"62"
"CCI"|"PAY.RETIRE.QUAL"|"83"
"STZ"|"PAY.RETIRE.QUAL"|"81"
"PCG"|"PAY.RETIRE.QUAL"|"81.44"
"EXC"|"PAY.RETIRE.QUAL"|"80.03"
"BSX"|"PAY.RETIRE.QUAL"|"75"
"APD"|"PAY.RETIRE.QUAL"|"81.86"
"MNST"|"PAY.RETIRE.QUAL"|"64"
"ICE"|"PAY.RETIRE.QUAL"|"76"
"HCA"|"PAY.RETIRE.QUAL"|"68"
"HPE"|"PAY.RETIRE.QUAL"|"78.29"
"DAL"|"PAY.RETIRE.QUAL"|"81.59"
"ALXN"|"PAY.RETIRE.QUAL"|"82"
"JCI"|"PAY.RETIRE.QUAL"|"77.93"
"BBT"|"PAY.RETIRE.QUAL"|"75.4"
"PPG"|"PAY.RETIRE.QUAL"|"73.81"
"AON"|"PAY.RETIRE.QUAL"|"81"
"ATVI"|"PAY.RETIRE.QUAL"|"77"
"AFL"|"PAY.RETIRE.QUAL"|"69"
"SPGI"|"PAY.RETIRE.QUAL"|"86.78"
"WM"|"PAY.RETIRE.QUAL"|"69"
"ETN"|"PAY.RETIRE.QUAL"|"80.48"
"HUM"|"PAY.RETIRE.QUAL"|"76.91"
"SRE"|"PAY.RETIRE.QUAL"|"84"
"EBAY"|"PAY.RETIRE.QUAL"|"78"
"APC"|"PAY.RETIRE.QUAL"|"88"
"SYY"|"PAY.RETIRE.QUAL"|"70"
"INTU"|"PAY.RETIRE.QUAL"|"82"
"SHW"|"PAY.RETIRE.QUAL"|"68.96"
